method,split,threshold_type,macro_f1,weighted_f1,macro_auroc
DP-FedAvg,validation,fixed_0.5,0.2819998629860396,0.387500090999857,0.778445452400544
DP-FedAvg,validation,class_specific,0.5469259967947037,0.6030420032465346,0.778445452400544
DP-FedAvg,test,fixed_0.5,0.27499958436478983,0.380282032164508,0.7711038697552883
DP-FedAvg,test,class_specific,0.5341339027116525,0.5886024681157354,0.7711038697552883
